Ligand,Binding Affinity,rmsd/ub, rmsd/lb
refine_model252_ZINC13382373_uff_E=212.19,-5.8,0.0,0.0
refine_model252_ZINC13382495_uff_E=480.07,-5.4,0.0,0.0
refine_model252_ZINC13382721_uff_E=343.17,-7.0,0.0,0.0
refine_model252_ZINC13382725_uff_E=580.31,-5.1,0.0,0.0
refine_model252_ZINC13386152_uff_E=63.14,-6.1,0.0,0.0
refine_model252_ZINC13393275_uff_E=623.94,-5.3,0.0,0.0
refine_model252_ZINC13393282_uff_E=418.51,-7.0,0.0,0.0
refine_model252_ZINC13408812_uff_E=527.99,-5.4,0.0,0.0
refine_model252_ZINC13411309_uff_E=651.35,-6.2,0.0,0.0
refine_model252_ZINC13411589_uff_E=1015.29,-5.9,0.0,0.0
refine_model252_ZINC13429387_uff_E=1075.33,-5.1,0.0,0.0
refine_model252_ZINC13429389_uff_E=1024.62,-4.6,0.0,0.0
refine_model252_ZINC13462588_uff_E=413.16,-5.9,0.0,0.0
refine_model252_ZINC13480348_uff_E=384.00,-8.1,0.0,0.0
refine_model252_ZINC13480351_uff_E=340.01,-7.3,0.0,0.0
refine_model252_ZINC13480800_uff_E=457.69,-6.4,0.0,0.0
refine_model252_ZINC13480800_uff_E=507.50,-6.8,0.0,0.0
refine_model252_ZINC13481884_uff_E=244.35,-6.5,0.0,0.0
refine_model252_ZINC13485435_uff_E=549.81,-7.7,0.0,0.0
refine_model252_ZINC13512214_uff_E=67.08,-4.8,0.0,0.0
refine_model252_ZINC13537539_uff_E=585.45,-6.9,0.0,0.0
refine_model252_ZINC13539005_uff_E=377.15,-6.5,0.0,0.0
refine_model252_ZINC13838499_uff_E=311.24,-7.4,0.0,0.0
refine_model252_ZINC14417338_uff_E=357.86,-6.3,0.0,0.0
refine_model252_ZINC14422042_uff_E=231.77,-6.0,0.0,0.0
refine_model252_ZINC14435101_uff_E=824.66,-5.0,0.0,0.0
refine_model252_ZINC14435312_uff_E=321.38,-3.7,0.0,0.0
refine_model252_ZINC14441498_uff_E=540.06,-5.7,0.0,0.0
refine_model252_ZINC14441500_uff_E=601.46,-5.6,0.0,0.0
refine_model252_ZINC14441502_uff_E=460.12,-5.7,0.0,0.0
refine_model252_ZINC14444870_uff_E=220.68,-6.2,0.0,0.0
refine_model252_ZINC14490611_uff_E=389.47,-5.1,0.0,0.0
refine_model252_ZINC14490613_uff_E=379.22,-5.0,0.0,0.0
refine_model252_ZINC14497261_uff_E=136.95,-4.7,0.0,0.0
refine_model252_ZINC14504006_uff_E=419.65,-6.3,0.0,0.0
refine_model252_ZINC14506940_uff_E=240.72,-6.3,0.0,0.0
refine_model252_ZINC14517364_uff_E=308.47,-6.0,0.0,0.0
refine_model252_ZINC14557836_uff_E=300.95,-7.5,0.0,0.0
refine_model252_ZINC14559514_uff_E=414.34,-6.8,0.0,0.0
refine_model252_ZINC14584515_uff_E=381.13,-4.7,0.0,0.0
refine_model252_ZINC14586037_uff_E=348.72,-5.8,0.0,0.0
refine_model252_ZINC14590768_uff_E=321.58,-6.2,0.0,0.0
refine_model252_ZINC14594077_uff_E=377.45,-6.8,0.0,0.0
refine_model252_ZINC14611375_uff_E=907.48,-5.4,0.0,0.0
refine_model252_ZINC14612849_uff_E=807.95,-6.5,0.0,0.0
refine_model252_ZINC14613040_uff_E=609.48,-6.0,0.0,0.0
refine_model252_ZINC14614051_uff_E=366.96,-7.3,0.0,0.0
refine_model252_ZINC14618437_uff_E=504.53,-5.9,0.0,0.0
refine_model252_ZINC14640942_uff_E=791.86,-6.0,0.0,0.0
refine_model252_ZINC14641685_uff_E=376.48,-6.1,0.0,0.0
refine_model252_ZINC14641747_uff_E=440.86,-6.5,0.0,0.0
refine_model252_ZINC14642643_uff_E=330.99,-5.7,0.0,0.0
refine_model252_ZINC14642669_uff_E=346.74,-5.4,0.0,0.0
refine_model252_ZINC14644461_uff_E=313.95,-5.6,0.0,0.0
refine_model252_ZINC14645872_uff_E=536.36,-6.1,0.0,0.0
refine_model252_ZINC14645874_uff_E=466.25,-5.3,0.0,0.0
refine_model252_ZINC14645876_uff_E=399.41,-5.7,0.0,0.0
refine_model252_ZINC14645878_uff_E=533.50,-5.6,0.0,0.0
refine_model252_ZINC14645888_uff_E=408.56,-5.5,0.0,0.0
refine_model252_ZINC14645890_uff_E=423.60,-5.5,0.0,0.0
refine_model252_ZINC14645892_uff_E=483.79,-5.4,0.0,0.0
refine_model252_ZINC14645975_uff_E=385.32,-5.6,0.0,0.0
refine_model252_ZINC14649032_uff_E=219.63,-5.2,0.0,0.0
refine_model252_ZINC14677166_uff_E=428.64,-6.2,0.0,0.0
refine_model252_ZINC14680087_uff_E=99.99,-5.1,0.0,0.0
refine_model252_ZINC14680293_uff_E=1530.58,-6.0,0.0,0.0
refine_model252_ZINC14683764_uff_E=527.51,-7.1,0.0,0.0
refine_model252_ZINC14684215_uff_E=368.35,-5.6,0.0,0.0
refine_model252_ZINC14686464_uff_E=560.92,-6.4,0.0,0.0
refine_model252_ZINC14689062_uff_E=541.66,-6.0,0.0,0.0
refine_model252_ZINC14691443_uff_E=309.85,-7.5,0.0,0.0
refine_model252_ZINC14721302_uff_E=528.10,-5.1,0.0,0.0
refine_model252_ZINC14721303_uff_E=628.63,-5.0,0.0,0.0
refine_model252_ZINC14725153_uff_E=521.40,-4.9,0.0,0.0
refine_model252_ZINC14727623_uff_E=408.95,-5.7,0.0,0.0
refine_model252_ZINC14727631_uff_E=455.05,-6.3,0.0,0.0
refine_model252_ZINC14758411_uff_E=267.49,-6.0,0.0,0.0
refine_model252_ZINC14759061_uff_E=338.15,-6.4,0.0,0.0
refine_model252_ZINC14760755_uff_E=301.63,-8.6,0.0,0.0
refine_model252_ZINC14762512_uff_E=247.72,-7.6,0.0,0.0
refine_model252_ZINC14763066_uff_E=277.08,-6.6,0.0,0.0
refine_model252_ZINC14763429_uff_E=607.08,-6.0,0.0,0.0
refine_model252_ZINC14768735_uff_E=475.73,-6.1,0.0,0.0
refine_model252_ZINC14768737_uff_E=487.06,-4.6,0.0,0.0
refine_model252_ZINC14779985_uff_E=334.84,-6.0,0.0,0.0
refine_model252_ZINC14780240_uff_E=330.96,-5.9,0.0,0.0
refine_model252_ZINC14780716_uff_E=326.10,-8.3,0.0,0.0
refine_model252_ZINC14780903_uff_E=343.07,-6.1,0.0,0.0
refine_model252_ZINC14811038_uff_E=246.19,-6.1,0.0,0.0
refine_model252_ZINC14815320_uff_E=213.98,-5.9,0.0,0.0
refine_model252_ZINC14819573_uff_E=513.73,-5.9,0.0,0.0
refine_model252_ZINC14819779_uff_E=344.34,-6.0,0.0,0.0
refine_model252_ZINC14825190_uff_E=504.41,-5.1,0.0,0.0
refine_model252_ZINC14826743_uff_E=611.10,-6.4,0.0,0.0
refine_model252_ZINC14826756_uff_E=551.21,-6.2,0.0,0.0
refine_model252_ZINC14826764_uff_E=516.89,-6.0,0.0,0.0
refine_model252_ZINC14887523_uff_E=269.63,-6.7,0.0,0.0
refine_model252_ZINC14952515_uff_E=480.06,-4.9,0.0,0.0
refine_model252_ZINC15043216_uff_E=331.38,-6.3,0.0,0.0
refine_model252_ZINC15118974_uff_E=193.62,-5.9,0.0,0.0
refine_model252_ZINC15120569_uff_E=240.89,-5.8,0.0,0.0
refine_model252_ZINC15120572_uff_E=241.83,-5.7,0.0,0.0
refine_model252_ZINC15120587_uff_E=371.59,-7.3,0.0,0.0
refine_model252_ZINC15120680_uff_E=347.98,-7.7,0.0,0.0
refine_model252_ZINC15121024_uff_E=293.69,-5.7,0.0,0.0
refine_model252_ZINC15121560_uff_E=471.92,-6.4,0.0,0.0
refine_model252_ZINC15121564_uff_E=545.92,-6.2,0.0,0.0
refine_model252_ZINC15121588_uff_E=469.15,-6.3,0.0,0.0
refine_model252_ZINC15122160_uff_E=500.82,-5.9,0.0,0.0
refine_model252_ZINC15122165_uff_E=420.15,-5.2,0.0,0.0
refine_model252_ZINC15122269_uff_E=579.33,-5.2,0.0,0.0
refine_model252_ZINC15150823_uff_E=450.92,-5.8,0.0,0.0
refine_model252_ZINC15156307_uff_E=568.52,-6.8,0.0,0.0
refine_model252_ZINC15203856_uff_E=632.29,-6.4,0.0,0.0
refine_model252_ZINC15217320_uff_E=527.38,-5.2,0.0,0.0
refine_model252_ZINC15250727_uff_E=453.73,-6.0,0.0,0.0
refine_model252_ZINC15250727_uff_E=462.39,-5.8,0.0,0.0
refine_model252_ZINC15255324_uff_E=415.16,-5.4,0.0,0.0
refine_model252_ZINC15257800_uff_E=264.00,-5.4,0.0,0.0
refine_model252_ZINC15258140_uff_E=352.08,-5.8,0.0,0.0
refine_model252_ZINC18157343_uff_E=164.71,-5.0,0.0,0.0
refine_model252_ZINC18185774_uff_E=225.33,-6.0,0.0,0.0
refine_model252_ZINC18825330_uff_E=283.48,-6.7,0.0,0.0
refine_model252_ZINC18847044_uff_E=271.67,-5.9,0.0,0.0
refine_model252_ZINC18847046_uff_E=373.19,-5.6,0.0,0.0
refine_model252_ZINC19366648_uff_E=261.79,-6.3,0.0,0.0
refine_model252_ZINC24215411_uff_E=417.60,-5.3,0.0,0.0
refine_model252_ZINC24554044_uff_E=283.36,-4.9,0.0,0.0
refine_model252_ZINC26472270_uff_E=806.49,-5.1,0.0,0.0
refine_model252_ZINC28109109_uff_E=452.71,-5.1,0.0,0.0
refine_model252_ZINC28254002_uff_E=220.78,-5.6,0.0,0.0
refine_model252_ZINC28278668_uff_E=106.80,-5.7,0.0,0.0
refine_model252_ZINC28373262_uff_E=176.43,-6.3,0.0,0.0
refine_model252_ZINC28456059_uff_E=158.90,-6.4,0.0,0.0
refine_model252_ZINC28462577_uff_E=482.34,-8.0,0.0,0.0
refine_model252_ZINC28648780_uff_E=662.09,-5.2,0.0,0.0
refine_model252_ZINC28969961_uff_E=500.48,-5.5,0.0,0.0
refine_model252_ZINC30726889_uff_E=468.46,-5.2,0.0,0.0
refine_model252_ZINC30726919_uff_E=868.62,2.9,0.0,0.0
refine_model252_ZINC31168265_uff_E=362.26,-7.5,0.0,0.0
refine_model252_ZINC31539795_uff_E=564.56,-5.1,0.0,0.0
refine_model252_ZINC31761332_uff_E=599.26,-5.7,0.0,0.0
refine_model252_ZINC31852149_uff_E=523.34,-5.4,0.0,0.0
refine_model252_ZINC32062349_uff_E=787.76,-5.2,0.0,0.0
refine_model252_ZINC32263928_uff_E=439.11,-6.9,0.0,0.0
refine_model252_ZINC32296267_uff_E=270.37,-6.7,0.0,0.0
refine_model252_ZINC33829963_uff_E=866.89,-2.8,0.0,0.0
refine_model252_ZINC33831297_uff_E=413.95,-5.8,0.0,0.0
refine_model252_ZINC33831299_uff_E=417.95,-5.8,0.0,0.0
refine_model252_ZINC33831303_uff_E=1910.22,-6.2,0.0,0.0
refine_model252_ZINC33831890_uff_E=490.53,-5.1,0.0,0.0
refine_model252_ZINC33832344_uff_E=610.34,-6.0,0.0,0.0
refine_model252_ZINC33833639_uff_E=997.51,-7.8,0.0,0.0
refine_model252_ZINC33857007_uff_E=520.13,-6.1,0.0,0.0
refine_model252_ZINC33950770_uff_E=80.08,-5.0,0.0,0.0
refine_model252_ZINC33963863_uff_E=292.37,-5.8,0.0,0.0
refine_model252_ZINC34006254_uff_E=126.41,-5.8,0.0,0.0
refine_model252_ZINC34165799_uff_E=331.80,-6.3,0.0,0.0
refine_model252_ZINC34181679_uff_E=111.08,-5.9,0.0,0.0
refine_model252_ZINC34268676_uff_E=80.08,-5.4,0.0,0.0
refine_model252_ZINC34518176_uff_E=737.94,-6.7,0.0,0.0
refine_model252_ZINC34729381_uff_E=385.62,-6.4,0.0,0.0
refine_model252_ZINC35570685_uff_E=967.54,-1.8,0.0,0.0
refine_model252_ZINC35941652_uff_E=277.38,-7.0,0.0,0.0
refine_model252_ZINC38140514_uff_E=658.43,-7.1,0.0,0.0
refine_model252_ZINC38143792_uff_E=788.33,-3.4,0.0,0.0
refine_model252_ZINC38347584_uff_E=555.72,-4.9,0.0,0.0
refine_model252_ZINC38362222_uff_E=815.50,-6.0,0.0,0.0
refine_model252_ZINC38628344_uff_E=352.93,-5.4,0.0,0.0
refine_model252_ZINC38658035_uff_E=385.54,-7.3,0.0,0.0
refine_model252_ZINC38939526_uff_E=369.86,-6.4,0.0,0.0
refine_model252_ZINC38939738_uff_E=720.23,-5.4,0.0,0.0
refine_model252_ZINC39144622_uff_E=432.70,-5.4,0.0,0.0
refine_model252_ZINC39560214_uff_E=1237.35,-5.6,0.0,0.0
refine_model252_ZINC40393112_uff_E=514.16,-6.2,0.0,0.0
refine_model252_ZINC40422816_uff_E=376.50,-6.6,0.0,0.0
refine_model252_ZINC40431237_uff_E=633.15,-3.8,0.0,0.0
refine_model252_ZINC40873959_uff_E=264.21,-5.4,0.0,0.0
refine_model252_ZINC43069427_uff_E=290.32,-7.2,0.0,0.0
refine_model252_ZINC43079447_uff_E=365.48,-6.3,0.0,0.0
